NAICS,Description,"2006 Wages, Salaries, & Proprietor Earnings","2007 Wages, Salaries, & Proprietor Earnings","2008 Wages, Salaries, & Proprietor Earnings","2009 Wages, Salaries, & Proprietor Earnings","2010 Wages, Salaries, & Proprietor Earnings","2011 Wages, Salaries, & Proprietor Earnings","2012 Wages, Salaries, & Proprietor Earnings","2013 Wages, Salaries, & Proprietor Earnings","2014 Wages, Salaries, & Proprietor Earnings","2015 Wages, Salaries, & Proprietor Earnings","2016 Wages, Salaries, & Proprietor Earnings","2017 Wages, Salaries, & Proprietor Earnings","2018 Wages, Salaries, & Proprietor Earnings",2001 Jobs,2002 Jobs,2003 Jobs,2004 Jobs,2005 Jobs,2006 Jobs,2007 Jobs,2008 Jobs,2009 Jobs,2010 Jobs,2011 Jobs,2012 Jobs,2013 Jobs,2014 Jobs,2015 Jobs,2016 Jobs,2017 Jobs,2018 Jobs,National 2001 Jobs,National 2002 Jobs,National 2003 Jobs,National 2004 Jobs,National 2005 Jobs,National 2006 Jobs,National 2007 Jobs,National 2008 Jobs,National 2009 Jobs,National 2010 Jobs,National 2011 Jobs,National 2012 Jobs,National 2013 Jobs,National 2014 Jobs,National 2015 Jobs,National 2016 Jobs,National 2017 Jobs,National 2018 Jobs,2004 Payrolled Business Locations,2005 Payrolled Business Locations,2006 Payrolled Business Locations,2007 Payrolled Business Locations,2008 Payrolled Business Locations,2009 Payrolled Business Locations,2010 Payrolled Business Locations,2011 Payrolled Business Locations,2012 Payrolled Business Locations,2013 Payrolled Business Locations,2014 Payrolled Business Locations,2015 Payrolled Business Locations,2016 Payrolled Business Locations,2017 Payrolled Business Locations,2018 Payrolled Business Locations
111000,Crop Production,25332.088793327755,29176.046611305836,24688.1435624413,33294.44643197919,28399.869040986458,26906.925665557777,27157.23101737638,29219.575263310577,29675.302589829527,28121.99388623957,30726.630263691553,43366.81197288565,33013.00072463396,2553.7952222543736,3715.561589675407,3645.7319313783514,2804.982347799691,3702.722407716285,3200.6480122071503,3283.198501773809,2012.808455972879,3011.2037183089897,2816.1689026489817,2223.4210566180373,2650.9089167045777,2567.7755641346857,2675.222997034037,2319.0387371511456,2262.3935695457076,3217.821522832751,3060.8065119618295,617367.5554096298,618075.8764137626,473223.0708217758,503743.8990155952,581501.9358027597,652116.5399628885,615883.2246724587,562488.2100067949,464944.578225451,641671.6957175891,449968.0127663656,478515.91925515287,496027.15309905075,662968.1741730197,563992.5919502535,526047.4259818343,681466.1000290515,602612.4320743748,145.1678873813944,191.02608841592445,155.2283623485826,139.75349963278276,125.22159411143511,149.96275226781145,193.9159995655529,192.9323315370828,150.71320415474474,155.6726746774046,188.75855588371633,190.54220639460254,166.52243609820727,164.86047438909299,229.56782072877976
112000,Animal Production,30792.814728095007,32605.563364468166,29580.123968122145,36487.49637138348,29513.969676184577,34246.4740347764,28874.884035279258,28690.97228127714,30875.707131884985,43208.51253003042,39294.86730431875,48783.30496230913,37439.17102637117,2536.705039027287,2528.5947442352326,2599.556856123706,1917.2712756319377,2892.7947918033606,2732.587429528641,2215.480439470677,2410.7782030868175,2419.8477140334016,2628.5767295748087,2720.2048744392027,2462.124372682865,2452.6651963310487,2603.68972091998,2830.49259997692,2444.830387761262,3622.675978277519,3541.1428762499986,230706.24258203682,231161.82880336393,229658.99659083708,254898.86032258623,190811.65645425362,204473.09642762077,191112.56601874955,187402.6294281946,233506.20660868566,275120.1187078332,193884.59070056875,281307.7707450899,196536.7711773002,285137.07875506,316614.0173004922,232129.39656059627,305159.2706061175,298034.26187951595,162.91681130578507,126.4118812722154,174.41008119508624,133.86812008890556,147.68981712753884,183.87966627255082,157.7782961844001,134.88488630665233,132.63910409761593,155.02557704744396,171.90700728376396,127.68808596666204,156.73225630820963,160.09601064147427,119.35531013726722
113110,Timber Tract Operations,0,79449.57345423933,15568.00334831773,12675.217768410164,11510.520402799457,12676.195933258556,24959.666468659198,18194.27135553875,68857.5412386682,22809.214136290924,10,11,12,0,14,12,0,13,11,0.39623077698298415,1.2792459001166732,0.40888878019761354,1.75567552190609,1.456643713347959,2.697270670620978,2.817393706910459,0.6136422708883532,2.2227517806232155,15,14,13,3374.2177051931744,4211.613710055948,3424.1707804166986,4067.3808431161006,4160.6761251159205,4626.112728425433,4048.575796091786,3630.9240754352586,4065.288437960512,3111.004955260502,4527.098814688709,3197.1084823923275,3067.2838031384176,3665.6618504098888,4535.146985204466,3891.3661159338885,2912.9885274070384,3643.269171584558,14,12,13,10,0.9235020205145702,1.0123075417708605,1.1697576294653118,0.9330213744542561,0.836680195457302,0.9823871922795661,0.8639016279717907,0.8306961657712236,0,0,13
113210,Forest Nurseries and Gathering of Forest Products,10002.471546957522,8474.46682289242,0,0,12,0,12,10,0,29331.737957823316,44810.099066402145,13,10,3.9339720490074273,0.22951889517426025,0.2567559879828798,0.3010195311089664,0.774186969745527,0.7235941919523541,0.21544842283928448,0,12,0,0,0,0,15,0.3107907004657953,0.8632612608088247,15,14,2765.654454829038,2487.6487661123856,2725.019056081076,2321.8554100667875,3097.121314950758,2085.625758760478,2715.1851755138923,2317.488561571222,3610.4067977603386,3172.013249584074,3607.785901444169,3709.3623785308573,2660.24490220826,2396.69316109592,2433.25560463749,1992.9866871566219,2400.007810762764,2433.633340710715,0.9482617501984351,1.0868726408923977,1.6327907993923874,1.062230193731375,0,0,0,10,15,11,0,14,0.81977418824099,10,15
113310,Logging,24222.591826327323,25297.158947418702,20593.940638301432,18058.42010446039,19809.52624162408,30167.98003281748,29996.57090861766,44940.42194414487,22208.28427134431,48609.133221415264,30184.204379594757,29764.316106009275,48356.2804462754,7.850156610275452,11.382860167093476,15.654320587817676,13.742675491038296,7.106349560968315,16.713859356297217,14.38805579980513,26.499870946278072,22.448061955186045,42.29882894846717,28.515292381033248,30.046942569078396,21.634754637375966,4.9839445121500265,10.308891510249993,12.451369115118826,16.0850711125842,14.600803240972628,73918.58150502936,61858.0653722161,73818.3024737208,74091.41412994266,52034.540296142826,52389.23999997145,48770.263102956094,60681.661016286904,51563.61255134634,57347.44435323873,45052.81478712572,53585.728589383696,43065.04261786559,45079.13028002098,45016.47878396809,57589.857772176976,47371.19493716951,45684.19680271614,5.43291083490476,3.2714580667437985,4.216460124030709,4.6533597122877834,3.696943983621895,5.7601482881000265,4.038040146464482,4.874980737455189,4.606905594747514,3.269778179959394,2.2272241533501074,4.846604129904881,4.6049176814034585,4.605474243965,3.868197300611064
114111,Finfish Fishing,11250.714998977253,0,10,0,10,0,12,0,12,12,13,0,14,0,0,15,0,15,0.6292918673402759,0,0,0,14,0,15,10,11,12,0,14,10,3324.6496305447563,4805.844734499572,4767.4528904296085,4844.531323876372,4421.284753487639,4127.815309519311,4287.7397647148355,3195.6099329413137,3270.669483977983,3329.535651975537,3925.166491570979,4320.142066914859,3304.9063285804405,2922.903300696024,4091.968952426194,3363.9644077021962,3498.615949675849,3514.0240883482443,0,0,1.0924519580323249,0,14,0,0,0,0,0,14,0,0,14,11
114112,Shellfish Fishing,0,10,0,15,12,11,12,13,12,0,0,0,0,14,0,11,0,15,10,0,13,0,14,13,14,10,0,0,0,0,11,3134.1254293743755,3656.8972926213605,3616.5540537830616,2699.0294107416435,3437.6395830234096,3167.7151509810556,2830.0428280949463,3065.646445282743,2605.3707249971776,2232.7347913344793,2465.8970680047196,3016.4405061987973,2090.5334981645997,2024.2126511691488,2769.1623914955226,2901.766633558693,2960.6117128824994,2605.9703718077076,0,15,13,15,11,0,0,13,10,10,12,11,15,0,13
114119,Other Marine Fishing,0,11,10,11,0,11,0,12,0,13,0,13,15,10,0,11,13,13,14,0,15,15,13,0,0,0,14,0,0,0,0,104.58408725208349,106.73022208603939,141.14013878468145,80.56792930209414,84.06454717887259,100.66528992498051,142.94069982385238,202.3734338446786,174.71672724546121,172.39182450567742,194.70587267431864,244.1989994929755,254.5712633473452,247.45953257529936,218.8570168523995,498.5507994278199,447.8697796165972,387.5419390957203,0,0,12,12,0,0,15,10,13,0,13,0,0,15,0
114210,Hunting and Trapping,0,0,12,13,0,0,0,0,0,32907.86431542507,37337.37817616504,12,10,0,12,13,0,12,0,0,14,10,13,0,0,10,0,1.7929193438873563,1.6055620956502046,0,11,4233.774591447931,3043.716472184303,2280.64482681026,2345.6968691963475,1948.554246622508,2252.967016042252,2139.383088451969,1747.5818855624448,1453.7346019255338,1953.7723436230756,2179.9737853751362,1916.242286841095,2203.1992747086974,1877.7139758038031,2283.877736110654,2353.39620152878,1818.4259773810027,2263.1899592005634,11,15,12,0,0,12,11,12,14,14,12,0.8012327297474258,0.8001365048461594,12,14
115111,Cotton Ginning,12,12,10,12,0,13,10,0,0,13,11,0,14,11,13,13,0,14,12,0,0,0,0,14,14,0,0,12,12,11,14,11590.659205887048,12488.651911161445,11219.251935639259,9217.674274470217,11894.209053691677,8466.482717441682,8866.603933853434,9482.616479285505,7090.663271899138,8937.368548381706,6384.457928767772,8626.155587140516,6196.813479697231,7299.948909165718,6598.789726201625,7115.7526867543875,7280.066639071297,5885.83167799683,13,0,0,13,14,13,0,0,15,14,0,0,0,0,0
115112,"Soil Preparation, Planting, and Cultivating",36524.3958667827,39805.322823201044,46288.543148861965,48086.042693585914,67911.44086214143,52416.11423531974,62969.40820831172,47983.517421949626,79450.24820551371,58244.43189687788,73412.7194221096,74752.31485829956,77105.33236331472,64.21838082831661,69.66676908769297,75.98773224971768,76.73308030661478,69.2432793720937,62.69452983170199,72.20059455432639,118.96558855533559,86.4199201466256,121.76257499205519,115.97231940166343,173.86683164874026,203.71412029348136,226.94485993188164,239.42075302899514,250.75258822861244,336.9548346890958,260.84646251102595,28890.870924189578,24297.891549601816,20077.887237546212,26667.353540604472,23743.99462240383,23786.332551611333,29213.09044348359,19977.200058324965,22105.255302545487,27839.158420705506,23484.220187643707,24587.395791819123,30521.312435390886,27331.70713643871,30379.695607307425,26073.778756278847,37008.73312888759,25556.881863576273,15.314560634817463,14.240929619781673,13.77085663303733,15.81171254965011,15.681149370747153,18.691535426094198,21.881912688782904,16.03136804884998,14.893933609779925,15.565598256140948,17.940814431384204,14.594068469956984,18.218886300059967,22.829986546898727,23.248298544040882
