NAICS,Description,"2006 Wages, Salaries, & Proprietor Earnings","2007 Wages, Salaries, & Proprietor Earnings","2008 Wages, Salaries, & Proprietor Earnings","2009 Wages, Salaries, & Proprietor Earnings","2010 Wages, Salaries, & Proprietor Earnings","2011 Wages, Salaries, & Proprietor Earnings","2012 Wages, Salaries, & Proprietor Earnings","2013 Wages, Salaries, & Proprietor Earnings","2014 Wages, Salaries, & Proprietor Earnings","2015 Wages, Salaries, & Proprietor Earnings","2016 Wages, Salaries, & Proprietor Earnings","2017 Wages, Salaries, & Proprietor Earnings","2018 Wages, Salaries, & Proprietor Earnings",2001 Jobs,2002 Jobs,2003 Jobs,2004 Jobs,2005 Jobs,2006 Jobs,2007 Jobs,2008 Jobs,2009 Jobs,2010 Jobs,2011 Jobs,2012 Jobs,2013 Jobs,2014 Jobs,2015 Jobs,2016 Jobs,2017 Jobs,2018 Jobs,National 2001 Jobs,National 2002 Jobs,National 2003 Jobs,National 2004 Jobs,National 2005 Jobs,National 2006 Jobs,National 2007 Jobs,National 2008 Jobs,National 2009 Jobs,National 2010 Jobs,National 2011 Jobs,National 2012 Jobs,National 2013 Jobs,National 2014 Jobs,National 2015 Jobs,National 2016 Jobs,National 2017 Jobs,National 2018 Jobs,2004 Payrolled Business Locations,2005 Payrolled Business Locations,2006 Payrolled Business Locations,2007 Payrolled Business Locations,2008 Payrolled Business Locations,2009 Payrolled Business Locations,2010 Payrolled Business Locations,2011 Payrolled Business Locations,2012 Payrolled Business Locations,2013 Payrolled Business Locations,2014 Payrolled Business Locations,2015 Payrolled Business Locations,2016 Payrolled Business Locations,2017 Payrolled Business Locations,2018 Payrolled Business Locations
111000,Crop Production,24225.132097706974,27381.536968751403,24078.35273048785,32798.59740402116,28611.118519870834,27529.782234476977,28137.450170914944,30071.917721805374,30645.986275295905,28664.093246901408,31166.277426449502,43950.8226397353,33864.122793515584,1502.3595512975717,2262.6987998441864,2204.1555655985835,1770.1339023592657,2424.3949212686025,1988.9837730757667,2171.981165479454,1255.3595453368955,1893.0243291987217,1820.0745044075995,1411.6950061663613,1737.057831051143,1671.0863264938034,1617.404315011221,1413.8258072136216,1401.515538167882,1902.9168051611093,1750.666847576811,617367.5554096298,618075.8764137626,473223.0708217758,503743.8990155952,581501.9358027597,652116.5399628885,615883.2246724587,562488.2100067949,464944.578225451,641671.6957175891,449968.0127663656,478515.91925515287,496027.15309905075,662968.1741730197,563992.5919502535,526047.4259818343,681466.1000290515,602612.4320743748,88.9738664595643,122.30328831507359,99.58045886512845,87.22869440166978,78.68654224569909,96.33368854289874,121.81902536810375,126.57344043515623,98.54324887041003,107.08693544687704,123.97751303605037,123.03582470051478,101.00541205956833,98.21475069988519,136.125642442191
112000,Animal Production,31045.541406994256,32251.623020510833,29239.377226604578,36056.678846590636,29216.711595847322,33898.21203932296,28575.678589162413,28352.871750733884,30577.79665489055,43218.35962957458,39195.80434711143,48756.940539676936,37493.02534939754,2061.3969559041775,2131.8904237692473,2288.2067685405923,1770.7410692123367,2596.3222748438648,2433.078530883153,2018.2884869365334,2259.350058572333,2264.1480695690684,2479.8272768616152,2583.049549456244,2343.5635165014996,2318.7509144966157,2480.195822910984,2692.671422234831,2343.111087459699,3461.4399172885596,3378.0910139654966,230706.24258203682,231161.82880336393,229658.99659083708,254898.86032258623,190811.65645425362,204473.09642762077,191112.56601874955,187402.6294281946,233506.20660868566,275120.1187078332,193884.59070056875,281307.7707450899,196536.7711773002,285137.07875506,316614.0173004922,232129.39656059627,305159.2706061175,298034.26187951595,147.40092451475795,113.77069314499386,157.45354552334175,118.79687478088309,130.7254462412675,161.5159230772406,144.44491904205643,123.89426594092511,122.8139852755703,143.79183958023788,160.69568072177935,117.72660408273805,142.8715805802727,146.9374344243668,111.94704950805753
113110,Timber Tract Operations,0,11,0,0,0,0,0,0,12,12,10,11,12,0,14,12,0,13,11,15,11,0,15,15,10,15,0,10,15,14,13,3374.2177051931744,4211.613710055948,3424.1707804166986,4067.3808431161006,4160.6761251159205,4626.112728425433,4048.575796091786,3630.9240754352586,4065.288437960512,3111.004955260502,4527.098814688709,3197.1084823923275,3067.2838031384176,3665.6618504098888,4535.146985204466,3891.3661159338885,2912.9885274070384,3643.269171584558,14,12,13,10,13,0,14,0,13,0,11,13,0,0,13
113210,Forest Nurseries and Gathering of Forest Products,14,0,0,0,12,0,12,10,0,29331.737957823316,44810.099066402145,13,10,0,0,0,10,0,13,13,0,12,0,0,0,0,15,0.3107907004657953,0.8632612608088247,15,14,2765.654454829038,2487.6487661123856,2725.019056081076,2321.8554100667875,3097.121314950758,2085.625758760478,2715.1851755138923,2317.488561571222,3610.4067977603386,3172.013249584074,3607.785901444169,3709.3623785308573,2660.24490220826,2396.69316109592,2433.25560463749,1992.9866871566219,2400.007810762764,2433.633340710715,0,13,11,13,0,0,0,10,15,11,0,14,0.81977418824099,10,15
113310,Logging,29495.9022823991,26898.248441833493,25262.78131673749,19384.64545472804,15980.070008486557,38517.255806258945,37812.29772691462,27633.407552612905,40417.744927658256,57796.41355540181,43392.51960048631,29794.08575218553,50925.094576390235,3.0104335013881287,4.07644324602788,9.827237856934213,6.744532667896545,3.0348776532434854,8.464133431325942,12.194036145951763,9.95761284636496,7.455689766973345,11.108649797275696,3.2264835393626665,0.9720210848369956,0.5496159261265523,2.333542628858309,4.8097926376627,5.718547583096055,12.525061036352227,12.685269564409804,73918.58150502936,61858.0653722161,73818.3024737208,74091.41412994266,52034.540296142826,52389.23999997145,48770.263102956094,60681.661016286904,51563.61255134634,57347.44435323873,45052.81478712572,53585.728589383696,43065.04261786559,45079.13028002098,45016.47878396809,57589.857772176976,47371.19493716951,45684.19680271614,3.259746500942856,1.090486022247933,2.1082300620153545,2.3266798561438917,1.8484719918109476,2.3040593152400106,1.6152160585857929,1.2187451843637973,1.1517263986868784,1.0899260599864646,1.1136120766750537,2.4233020649524404,2.3024588407017292,2.3027371219825,1.934098650305532
114111,Finfish Fishing,15,0,10,0,10,0,12,0,12,12,13,0,14,0,0,15,0,15,0,0,0,0,14,0,15,10,11,12,0,14,10,3324.6496305447563,4805.844734499572,4767.4528904296085,4844.531323876372,4421.284753487639,4127.815309519311,4287.7397647148355,3195.6099329413137,3270.669483977983,3329.535651975537,3925.166491570979,4320.142066914859,3304.9063285804405,2922.903300696024,4091.968952426194,3363.9644077021962,3498.615949675849,3514.0240883482443,0,0,0,0,14,0,0,0,0,0,14,0,0,14,11
114112,Shellfish Fishing,0,10,0,15,12,11,12,13,12,0,0,0,0,14,0,11,0,15,10,0,13,0,14,13,14,10,0,0,0,0,11,3134.1254293743755,3656.8972926213605,3616.5540537830616,2699.0294107416435,3437.6395830234096,3167.7151509810556,2830.0428280949463,3065.646445282743,2605.3707249971776,2232.7347913344793,2465.8970680047196,3016.4405061987973,2090.5334981645997,2024.2126511691488,2769.1623914955226,2901.766633558693,2960.6117128824994,2605.9703718077076,0,15,13,15,11,0,0,13,10,10,12,11,15,0,13
114119,Other Marine Fishing,0,11,10,11,0,11,0,12,0,13,0,13,15,10,0,11,13,13,14,0,15,15,13,0,0,0,14,0,0,0,0,104.58408725208349,106.73022208603939,141.14013878468145,80.56792930209414,84.06454717887259,100.66528992498051,142.94069982385238,202.3734338446786,174.71672724546121,172.39182450567742,194.70587267431864,244.1989994929755,254.5712633473452,247.45953257529936,218.8570168523995,498.5507994278199,447.8697796165972,387.5419390957203,0,0,12,12,0,0,15,10,13,0,13,0,0,15,0
114210,Hunting and Trapping,0,0,12,13,0,0,0,0,0,32907.86431542507,37337.37817616504,12,10,0,12,13,0,12,0,0,14,10,13,0,0,10,0,1.7929193438873563,1.6055620956502046,0,11,4233.774591447931,3043.716472184303,2280.64482681026,2345.6968691963475,1948.554246622508,2252.967016042252,2139.383088451969,1747.5818855624448,1453.7346019255338,1953.7723436230756,2179.9737853751362,1916.242286841095,2203.1992747086974,1877.7139758038031,2283.877736110654,2353.39620152878,1818.4259773810027,2263.1899592005634,11,15,12,0,0,12,11,12,14,14,12,0.8012327297474258,0.8001365048461594,12,14
115111,Cotton Ginning,12,12,10,12,0,13,10,0,0,13,11,0,14,11,13,13,0,14,12,0,0,0,0,14,14,0,0,12,12,11,14,11590.659205887048,12488.651911161445,11219.251935639259,9217.674274470217,11894.209053691677,8466.482717441682,8866.603933853434,9482.616479285505,7090.663271899138,8937.368548381706,6384.457928767772,8626.155587140516,6196.813479697231,7299.948909165718,6598.789726201625,7115.7526867543875,7280.066639071297,5885.83167799683,13,0,0,13,14,13,0,0,15,14,0,0,0,0,0
115112,"Soil Preparation, Planting, and Cultivating",35287.347862551644,39805.322823201044,58860.0821918116,49793.23737185497,71450.28894307846,58038.971158950815,66982.91514875765,48518.91434465883,79673.34508788164,58589.42053979448,71429.9514164419,77240.89026678549,84445.14939735246,64.21838082831661,69.66676908769297,74.34362723724958,74.03052485199183,67.31634606688687,61.29907387016165,72.20059455432639,80.10020191976179,74.47614326418645,104.10857533638624,89.90484853323747,157.9294691575661,199.44362348129428,225.6683595623703,236.03669503991603,216.3635762125111,289.15708430007777,212.57459804141104,28890.870924189578,24297.891549601816,20077.887237546212,26667.353540604472,23743.99462240383,23786.332551611333,29213.09044348359,19977.200058324965,22105.255302545487,27839.158420705506,23484.220187643707,24587.395791819123,30521.312435390886,27331.70713643871,30379.695607307425,26073.778756278847,37008.73312888759,25556.881863576273,14.413704126887023,13.350871518545318,12.910178093472496,15.81171254965011,14.758728819526732,16.614698156528174,19.578553458384704,14.343855622655246,14.017819868028164,14.592748365132138,16.819513529422693,12.877119238197338,16.075487911817618,19.568559897341764,20.078076015308035
115113,"Crop Harvesting, Primarily by Machine",23043.81815917592,21253.588553457663,26731.704369581093,24697.165605531074,33998.593021644236,30258.207955216403,37302.22789725469,32589.98026214197,40650.80761934781,48166.41740359878,35767.54941854443,48934.55059624317,38437.01817819224,20.177652712154355,27.59370397373254,19.565725371754578,74.89796925622625,30.97843129026004,28.636962818666046,26.25841852448547,36.4905538600086,32.72446828198486,31.653857840636608,24.506953175108876,43.52258170908751,43.83336193908234,36.55264557448665,31.502294609544506,21.449544260216197,36.511477522955204,46.15494078518763,11074.29758883957,10188.581293518659,10130.95694024675,8496.805680271345,8447.560920931935,12143.593460592503,12669.312064534264,10099.531801450325,10723.162550564306,8716.854668064958,9679.407136641315,9330.780572620388,13852.167821039287,14796.965514512593,11688.158310182203,14515.459962390223,14359.300263398276,10381.53681054249,10.02185705472948,12.292243505595252,10.72239023691509,7.951370021165348,7.4074078888283115,8.523506507370621,7.460839516017586,8.45112145942403,7.017765968223102,7.235131092416123,7.064542447566055,5.681802837504074,8.664867783803492,9.978801151830703,6.555189382773824
