Cluster,SubclusterName,year,jobs,national.jobs,jobs.change,national.jobs.change,jobs.pct.change,Sum_Earnings,earnings.jobs,average_earnings,LQ,region
Aerospace Vehicles and Defense,Aircraft,2006,1066.7347884407482,369989.31273674243,244.6326471717969,-103170.81920939061,0.22932846085330894,65175657.749771744,1066.7347884407482,61098.27715006778,0.20694083699902802,Large Region
Aerospace Vehicles and Defense,Aircraft,2007,1112.4058587317234,381508.2629300497,187.49646524824885,-56477.075030745225,0.16855041150360123,57968639.88716763,1112.4058587317234,52111.052303570985,0.2101703614974097,Large Region
Aerospace Vehicles and Defense,Aircraft,2008,686.8665833394253,476483.3981505552,-392.3979525194982,106320.28316604362,-0.5712870039647698,49393792.14170104,686.8665833394253,71911.77055310662,0.0991890946117294,Large Region
Aerospace Vehicles and Defense,Aircraft,2009,862.9800862921603,407165.7295884611,164.59143577617624,-16419.277278483947,0.19072448876932035,80892132.01537487,862.9800862921603,93735.80375757244,0.1422107477513443,Large Region
Aerospace Vehicles and Defense,Aircraft,2010,962.5136658049142,392654.44241480075,-360.2243197156753,13652.561934064332,-0.37425371972712007,94318903.91389467,962.5136658049142,97992.27508631712,0.16721468737920916,Large Region
Aerospace Vehicles and Defense,Aircraft,2011,761.9070348093979,444600.62855248747,-304.8277536313502,74611.31581574498,-0.4000852331119469,70034758.57286362,761.9070348093979,91920.34641127028,0.11714869356073072,Large Region
Aerospace Vehicles and Defense,Aircraft,2012,946.1245155176334,431975.0864527073,-166.28134321409004,50466.823522657636,-0.17574995731203094,59168910.84311256,946.1245155176334,62538.18590752899,0.1511440409496045,Large Region
Aerospace Vehicles and Defense,Aircraft,2013,516.0990141809934,508638.41473271226,-170.76756915843194,32155.016582157084,-0.33088140931527643,38950480.195421115,516.0990141809934,75470.94477061211,0.0677311225913917,Large Region
Aerospace Vehicles and Defense,Aircraft,2014,380.9434246437019,444635.1418797644,-482.0366616484584,37469.41229130326,-1.265375986209263,30506735.374951757,380.9434246437019,80082.06311340022,0.05652276757544916,Large Region
Aerospace Vehicles and Defense,Aircraft,2015,520.1434469902763,383332.2884470252,-442.37021881463795,-9322.15396777555,-0.8504773469210076,30269766.30394978,520.1434469902763,58195.03538706632,0.09073323097976033,Large Region
Aerospace Vehicles and Defense,Aircraft,2016,539.0630487114307,439518.686283679,-222.84398609796722,-5081.942268808489,-0.4133913215358585,41809511.44331755,539.0630487114307,77559.59445422656,0.07776626502685217,Large Region
Aerospace Vehicles and Defense,Aircraft,2017,520.7757222815751,396185.54204472585,-425.3487932360583,-35789.54440798142,-0.8167600274693279,33976842.27170515,520.7757222815751,65242.75387272069,0.08680488090825768,Large Region
Aerospace Vehicles and Defense,Aircraft,2018,546.9715909382833,466312.926700396,30.872576757289863,-42325.48803231628,0.05644274267394872,46861987.55322542,546.9715909382833,85675.35925008036,0.07430880441738015,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2006,5708.531154926176,72855.86994474522,779.20839205012,-11492.523965309885,0.13649892956749518,505890963.28971547,5708.531154926176,88620.1633240027,5.623915018525386,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2007,7387.177136177877,72456.58362583592,1839.9650357495432,3677.311939346533,0.2490755266634286,753451568.3409103,7387.177136177877,101994.51758791124,7.34873881921603,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2008,7240.525978496571,75448.3417806053,2858.307184925484,-7741.907754540213,0.3947651307949571,800176603.5024527,7240.525978496571,110513.60161939534,6.6032802298964315,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2009,6321.9375358598345,78726.12939700589,1925.218429455716,148.2940652819325,0.3045298088656092,678860503.862474,6321.9375358598345,107381.71644559652,5.388081590817228,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2010,5000.661123439566,64923.95843241361,-1075.5748717231209,425.76270440121516,-0.21508653459471305,471347684.9487427,5000.661123439566,94257.07387757147,5.254125791103594,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2011,5117.07271736027,76688.79620563585,-591.458437565906,3832.9262608906274,-0.11558531024179387,663454516.7617441,5117.07271736027,129655.08864294557,4.561368998916155,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2012,6015.823297434953,63488.948463234134,-1371.3538387429246,-8967.63516260179,-0.227957799114154,542181820.2366104,6015.823297434953,90125.95507381138,6.538804769351629,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2013,5402.813618727359,72737.20808418855,-1837.7123597692116,-2711.133696416756,-0.34013987700765574,553897244.9870161,5402.813618727359,102520.14673744889,4.958242457712097,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2014,6699.113769766162,65325.54658630354,377.1762339063274,-13400.582810702352,0.056302407582412665,760410267.2291849,6699.113769766162,113509.0839419686,6.765517507388035,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2015,6586.315445036993,67083.40982531327,1585.654321597427,2159.4513928996685,0.24074982967787706,833846125.0012693,6586.315445036993,126602.82246724154,6.5651710251635365,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2016,6088.3880573851975,82443.05001773067,971.3153400249275,5754.253812094817,0.1595357146867018,1065386300.4584554,6088.3880573851975,174986.5958636038,4.6824947268746895,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2017,6339.19499507392,77390.1399546634,323.3716976389669,13901.191491429263,0.05101147667649497,793688299.9220461,6339.19499507392,125203.32637484849,5.409293141023594,Large Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2018,6675.503492486036,72982.65768055462,1272.6898737586764,245.4495963660629,0.19065076891821262,982719544.4393653,6675.503492486036,147212.7975883043,5.79451793740281,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2006,3253.801044581266,193123.40114722218,907.1922759264776,51927.530264446366,0.2788100020550657,383262806.1599662,3253.801044581266,117789.25659828981,1.2093026796259305,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2007,3091.5514290546034,170108.59574744565,13.766100557179925,1459.9695561778208,0.0044528130529562625,307266613.5684853,3091.5514290546034,99389.13216218029,1.309973072165443,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2008,3405.1669969828763,181818.6147831402,290.7618798571343,39590.122901170136,0.08538843472721361,314762454.6138698,3405.1669969828763,92436.71599447627,1.2886630680551925,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2009,2740.9715941404165,156321.92522931768,-1253.9969380711486,12420.274147879332,-0.45750088791577165,308952110.29063386,2740.9715941404165,112716.27584580018,1.1764880018452135,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2010,2534.7589635080967,144982.04991188098,-1021.3786703070773,-27167.454094324552,-0.40294903184541586,386824051.77804637,2534.7589635080967,152607.8247861025,1.1926155393184876,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2011,2879.942966227552,122433.62759518922,-373.85807835371406,-70689.77355203296,-0.1298144035273838,319420270.90509605,2879.942966227552,110912.01272069143,1.6080098632430815,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2012,2343.950856905202,132852.07071915283,-747.6005721494016,-37256.52502829282,-0.3189489105315476,323046374.0124853,2343.950856905202,137821.30843776072,1.2175354291950857,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2013,2812.928061393411,159130.07518509158,-592.2389355894652,-22688.539598048606,-0.21054179938611509,471984555.23144543,2812.928061393411,167791.19299540255,1.179969437729739,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2014,2615.732156298814,133040.02820455137,-125.23943784160247,-23281.89702476631,-0.047879305050411845,353716010.7790429,2615.732156298814,135226.38773518038,1.2971125584630796,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2015,2864.5595110721715,104216.2367380743,329.8005475640748,-40765.81317380669,0.11513133041548655,452735028.89930487,2864.5595110721715,158046.9971558913,1.8379813872877964,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2016,3302.270877783277,105092.71337033279,422.32791155572477,-17340.91422485643,0.127890148078713,409887631.56992966,3302.270877783277,124122.95863659613,1.9923659517919503,Large Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2017,2474.8377282360675,109310.2478776878,130.8868713308657,-23541.822841465037,0.05288705188123784,350988793.49170345,2474.8377282360675,141822.9524656025,1.4951263222241513,Large Region
