Cluster,SubclusterName,year,jobs,national.jobs,jobs.change,national.jobs.change,jobs.pct.change,Sum_Earnings,earnings.jobs,average_earnings,LQ,region
Aerospace Vehicles and Defense,Aircraft,2006,260.99974517771267,369989.31273674243,-286.66179485172665,-103170.81920939061,-1.0983221253972524,17244679.96531312,260.99974517771267,66071.63525608562,0.17594411731327772,Medium Region
Aerospace Vehicles and Defense,Aircraft,2007,181.46378331985846,381508.2629300497,-350.6052585985277,-56477.075030745225,-1.9320949458026608,13071952.751702549,181.46378331985846,72036.15240767451,0.11936002543824757,Medium Region
Aerospace Vehicles and Defense,Aircraft,2008,134.24149284673032,476483.3981505552,-391.8404246036208,106320.28316604362,-2.918921834778782,8184830.379422986,134.24149284673032,60970.942782705664,0.06752220269794286,Medium Region
Aerospace Vehicles and Defense,Aircraft,2009,227.6269490427902,407165.7295884611,-101.40325198028609,-16419.277278483947,-0.44547999437985664,17447888.55255345,227.6269490427902,76651.24285997229,0.12897315973465903,Medium Region
Aerospace Vehicles and Defense,Aircraft,2010,269.01703534970784,392654.44241480075,-74.52621220229766,13652.561934064332,-0.27703157201705664,19217169.692452803,269.01703534970784,71434.7686847099,0.16122478185964262,Medium Region
Aerospace Vehicles and Defense,Aircraft,2011,143.1532445455807,444600.62855248747,-117.846500632132,74611.31581574498,-0.823219208242319,11916406.417385656,143.1532445455807,83242.3076068766,0.07485663625534547,Medium Region
Aerospace Vehicles and Defense,Aircraft,2012,218.34044156316418,431975.0864527073,36.876658243305705,50466.823522657636,0.16889522609414334,11440767.702876061,218.34044156316418,52398.75682657872,0.1173424353881443,Medium Region
Aerospace Vehicles and Defense,Aircraft,2013,150.0569117528348,508638.41473271226,15.815418906104473,32155.016582157084,0.10539613751451003,12806042.818866113,150.0569117528348,85341.23932897871,0.06467637815071163,Medium Region
Aerospace Vehicles and Defense,Aircraft,2014,109.65503297877093,444635.1418797644,-117.97191606401925,37469.41229130326,-1.075845885586104,7604285.11247565,109.65503297877093,69347.34235087804,0.053581732650637134,Medium Region
Aerospace Vehicles and Defense,Aircraft,2015,219.64219010169816,383332.2884470252,-49.37484524800966,-9322.15396777555,-0.2247967260986983,12824785.192155838,219.64219010169816,58389.443240470966,0.12426969701988343,Medium Region
Aerospace Vehicles and Defense,Aircraft,2016,222.5573963307834,439518.686283679,79.40415178520273,-5081.942268808489,0.35678055681054804,17678790.140357725,222.5573963307834,79434.74551653197,0.10421940191271112,Medium Region
Aerospace Vehicles and Defense,Aircraft,2017,251.49926655125833,396185.54204472585,33.15882498809418,-35789.54440798142,0.13184461904319728,15881770.103492243,251.49926655125833,63148.37542580015,0.13501309374144616,Medium Region
Aerospace Vehicles and Defense,Aircraft,2018,237.5922573252484,466312.926700396,87.5353455724136,-42325.48803231628,0.36842676002098584,20728456.26996246,237.5922573252484,87243.82058286751,0.1034184639652178,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2006,23.9375364263609,72855.86994474522,23.9375364263609,-11492.523965309885,1,928812.6865655581,23.9375364263609,38801.515328148605,0.08194807398474198,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2007,65.82910208768592,72456.58362583592,65.82910208768592,3677.311939346533,1,2608217.1273343316,65.82910208768592,39621.03453667231,0.2279885143092451,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2008,77.90434158644254,75448.3417806053,67.39678941676104,-7741.907754540213,0.8651223801433154,3974836.529786818,77.90434158644254,51022.01557504142,0.24746829366768658,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2009,29.967406260367742,78726.12939700589,16.52987244070653,148.2940652819325,0.5515950328529929,473499.19341813534,29.967406260367742,15800.47299736927,0.08781670449419635,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2010,0.9657533189272394,64923.95843241361,-13.604348691732701,425.76270440121516,-14.086773946419815,100643.93817437348,0.9657533189272394,104212.88356137255,0.0036245787502907187,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2011,29.704284215513105,76688.79620563585,5.766747789152205,3832.9262608906274,0.19413858779806964,251429.80696041282,29.704284215513105,8464.429074816866,0.0900505470550161,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2012,32.001388038682265,63488.948463234134,-33.82771404900366,-8967.63516260179,-1.057070212333096,888257.1668166708,32.001388038682265,27756.832476859243,0.11701735985667931,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2013,13.564598544366616,72737.20808418855,-64.33974304207592,-2711.133696416756,-4.743210263955526,268964.2677077075,13.564598544366616,19828.398667899277,0.0408836029738563,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2014,15.625314114023825,65325.54658630354,-14.342092146343917,-13400.582810702352,-0.9178754450428483,68172.16493269191,15.625314114023825,4362.930846395398,0.05196819969345672,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2015,29.695386783283045,67083.40982531327,28.729633464355807,2159.4513928996685,0.9674780016850663,641450.642235263,29.695386783283045,21601.019946854718,0.09600607892939324,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2016,7.263567376703548,82443.05001773067,-22.440716838809557,5754.253812094817,-3.089489733486015,1032144.7420259779,7.263567376703548,142098.87352823044,0.01813342363309026,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2017,16.266575674849435,77390.1399546634,-15.73481236383283,13901.191491429263,-0.9673094496564025,151703.69393177028,16.266575674849435,9326.098926052822,0.044704196646272586,Medium Region
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2018,12.636945304352,72982.65768055462,-0.9276532400146156,245.4495963660629,-0.07340802841768602,1012629.0111637064,12.636945304352,80132.42019928424,0.03514517301302164,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2006,2894.000915246701,193123.40114722218,1273.6941268589699,51927.530264446366,0.44011531584135416,338979073.7624987,2894.000915246701,117131.64013757826,3.7375551512144467,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2007,2538.5781131434514,170108.59574744565,-33.542857284276124,1459.9695561778208,-0.013213246072913205,254690317.56369677,2538.5781131434514,100327.94194712439,3.744873585870586,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2008,2777.2966995517854,181818.6147831402,271.33923389523216,39590.122901170136,0.09769904452017038,264993121.01366323,2777.2966995517854,95414.04814848525,3.6609309274696566,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2009,2241.3981045204473,156321.92522931768,-1421.0999131312578,12420.274147879332,-0.6340238756627777,263522794.69168273,2241.3981045204473,117570.72255937509,3.307851349484845,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2010,2155.250102618672,144982.04991188098,-990.356541355311,-27167.454094324552,-0.4595088709899645,342140251.7722515,2155.250102618672,158747.35435880237,3.4982107454882545,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2011,2442.654423565772,122433.62759518922,-451.3464916809289,-70689.77355203296,-0.1847770553732509,282565362.2983843,2442.654423565772,115679.6309671579,4.638317743416939,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2012,1939.289819118627,132852.07071915283,-599.2882940248244,-37256.52502829282,-0.309024617216415,269089600.42319256,1939.289819118627,138756.77465552263,3.388862928564764,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2013,2343.8865317859004,159130.07518509158,-433.41016776588503,-22688.539598048606,-0.18491089986154433,392021280.5324284,2343.8865317859004,167252.66996339272,3.229112382430461,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2014,2173.712114549978,133040.02820455137,-67.68598997046911,-23281.89702476631,-0.031138433427962048,294438351.5111528,2173.712114549978,135454.16135848797,3.5498635922413224,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2015,2214.3635231517246,104216.2367380743,59.113420533052704,-40765.81317380669,0.026695445402259883,369732867.21378094,2214.3635231517246,166970.2663307679,4.608275213137455,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2016,2526.4819647976988,105092.71337033279,83.82754123192672,-17340.91422485643,0.033179552595238485,336858087.1240137,2526.4819647976988,133330.88928302986,4.947974876570953,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2017,1772.3588431449227,109310.2478776878,-166.93097597370434,-23541.822841465037,-0.09418576639790245,269438621.1966783,1772.3588431449227,152022.61225981693,3.4484867869721785,Medium Region
Aerospace Vehicles and Defense,Search and Navigation Equipment,2018,2079.433587386663,121196.23068546708,-264.45294439923737,-37933.84449962451,-0.12717547028351586,291150681.07448417,2079.433587386663,140014.41682991618,3.4825647152275256,Medium Region
Agricultural Inputs and Services,Agricultural Production,2006,5933.235441735791,856589.6363905092,842.7351804541308,8515.838398842578,0.14203636257650099,165223158.08721632,5933.235441735791,27847.059114660657,1.7275976855805188,Medium Region
Agricultural Inputs and Services,Agricultural Production,2007,5498.678941244486,806995.7906912083,-745.4773926661537,-42241.914525918226,-0.13557390795714178,168027740.37382305,5498.678941244486,30557.83801332366,1.7098577585045138,Medium Region
Agricultural Inputs and Services,Agricultural Production,2008,4423.586659059696,749890.8394349895,-1821.7021284423608,47008.772022376594,-0.41181563035765023,121003622.23170906,4423.586659059696,27354.18825443115,1.4137873544665494,Medium Region
Agricultural Inputs and Services,Agricultural Production,2009,5431.051432342391,698450.7848341367,708.7978089107626,-60191.974504044774,0.13050839561006713,188550545.58010957,5431.051432342391,34717.13496529869,1.7938865982787202,Medium Region
Agricultural Inputs and Services,Agricultural Production,2010,5444.74563222379,916791.8144254223,-1150.7715672958552,144478.22216840895,-0.2113545140631018,157558561.92072496,5444.74563222379,28937.726858761172,1.3975565795343259,Medium Region
Agricultural Inputs and Services,Agricultural Production,2011,4943.62593105724,643852.6034669343,-989.6095106785515,-212737.03292357488,-0.2001788817518631,152982850.6954118,4943.62593105724,30945.474602827602,1.7850826543037557,Medium Region
Agricultural Inputs and Services,Agricultural Production,2012,5113.033289387443,759823.6900002428,-385.64565185704305,-47172.10069096548,-0.07542404479499186,143084901.5986216,5113.033289387443,27984.347744343282,1.5622315481067062,Medium Region
Agricultural Inputs and Services,Agricultural Production,2013,5020.4407604657345,692563.924276351,596.8541014060379,-57326.915158638556,0.11888480113261393,145398660.5187105,5020.4407604657345,28961.33376648432,1.5892083050520875,Medium Region
Agricultural Inputs and Services,Agricultural Production,2014,5278.912717954017,948105.2529280797,-152.1387143883744,249654.46809394303,-0.028820085217726388,159778813.2176803,5278.912717954017,30267.371664293554,1.2097061713061978,Medium Region
Agricultural Inputs and Services,Agricultural Production,2015,5149.531337128065,880606.6092507457,-295.214295095725,-36185.20517467661,-0.057328381122226234,187517368.16037837,5149.531337128065,36414.45325487781,1.2682668485944448,Medium Region
Agricultural Inputs and Services,Agricultural Production,2016,4707.223957306969,758176.8225424306,-236.40197375027037,114324.21907549622,-0.050221101841416815,165585016.39102924,4707.223957306969,35176.78740013921,1.2778452003154808,Medium Region
Agricultural Inputs and Services,Agricultural Production,2017,6840.49750111027,986625.3706351691,1727.4642117228268,226801.68063492625,0.25253487943566166,316272767.97093624,6840.49750111027,46235.345882313755,1.4745964993379326,Medium Region
Agricultural Inputs and Services,Agricultural Production,2018,6601.949388211828,900646.6939538907,1581.5086277460937,208082.76967753976,0.2395517649029499,233623861.37009984,6601.949388211828,35387.10275290039,1.487856290743817,Medium Region
Agricultural Inputs and Services,Agricultural Services,2006,408.38643546367274,160573.84461028175,117.41307532232503,14574.599991150048,0.28750483641557995,7106379.5383166615,408.38643546367274,17401.115515132715,0.6343374467184123,Medium Region
Agricultural Inputs and Services,Agricultural Services,2007,394.39141886549186,151192.88329494843,76.72487257699257,10709.273579588607,0.1945399136667316,9045451.038757363,394.39141886549186,22935.212598635004,0.654589444508927,Medium Region
Agricultural Inputs and Services,Agricultural Services,2008,762.4987550804987,146710.32610643248,460.20406669420163,13552.28532224887,0.6035473023764044,19462598.122696638,762.4987550804987,25524.760523237746,1.2456213919302226,Medium Region
Agricultural Inputs and Services,Agricultural Services,2009,565.8950192750563,142735.79696688577,226.14465758295108,2999.6111072460562,0.39962298638474547,15856140.169825878,565.8950192750563,28019.578949711373,0.9146392759719032,Medium Region
Agricultural Inputs and Services,Agricultural Services,2010,609.5281943875524,144251.87766828926,173.0919012087373,-17383.848509520496,0.2839768575146196,18620029.492833875,609.5281943875524,30548.266124987193,0.9943398737724867,Medium Region
Agricultural Inputs and Services,Agricultural Services,2011,674.5006093790415,150694.25586692253,266.1141739153688,-9879.588743359234,0.39453511266707186,19150605.902106,674.5006093790415,28392.273684876905,1.0406024224977888,Medium Region
Agricultural Inputs and Services,Agricultural Services,2012,848.9643331947058,149409.33099872482,454.57291432921386,-1783.5522962236137,0.5354440658521279,24161609.089118313,848.9643331947058,28460.09914008598,1.3191413601581683,Medium Region
Agricultural Inputs and Services,Agricultural Services,2013,974.1037102292626,178426.1157618066,211.60495514876396,31715.789655374127,0.2172304169737339,26469333.56092462,974.1037102292626,27173.013800239878,1.1968662501722982,Medium Region
Agricultural Inputs and Services,Agricultural Services,2014,903.6466378623284,150326.30918245815,337.7516185872721,7590.512215572407,0.3737651471666616,32880925.509226482,903.6466378623284,36386.92839826172,1.3060373885868874,Medium Region
Agricultural Inputs and Services,Agricultural Services,2015,716.5964969471518,147197.84315639155,107.06830255959937,2945.9654881022943,0.14941226061770094,25951719.271721136,716.5964969471518,36215.247189011934,1.0558399979056385,Medium Region
Agricultural Inputs and Services,Agricultural Services,2016,963.1068713118908,194536.19136471936,288.6062619328493,43841.935497796825,0.299661720344416,34342994.447808616,963.1068713118908,35658.54991879405,1.0189619360101434,Medium Region
Agricultural Inputs and Services,Agricultural Services,2017,1103.0424937338162,180882.65220099178,254.07816053911043,31473.32120226695,0.2303430393502356,43474546.12364603,1103.0424937338162,39413.30127408238,1.2969795106480673,Medium Region
Agricultural Inputs and Services,Agricultural Services,2018,1154.3138990729854,163004.10700129965,180.21018884372288,-15422.008760506942,0.15611887631990515,40153164.734098285,1154.3138990729854,34785.30819592901,1.4373701852235048,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2006,725.283278965219,243316.4049248982,-61.085479040668005,14226.349330551004,-0.08422292476922988,16566884.923212875,725.283278965219,22841.950729719418,0.7434643032527619,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2007,986.2362666067835,324896.73011158727,309.02396316337297,84300.21793636112,0.3133366452103734,16718684.263310859,986.2362666067835,16952.007170485314,0.7617430812634112,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2008,1093.4795151367075,295144.7317279062,246.80578337488876,21459.901592907474,0.2257068193399425,19094265.123137206,1093.4795151367075,17461.93217048975,0.8879391759575989,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2009,1142.085900952574,252680.48130838544,242.7475214643932,-10945.29150180106,0.2125475161386074,25856820.850343898,1142.085900952574,22639.99654384808,1.0427350073390043,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2010,782.7963952032441,313956.7202100438,56.66458231788134,35736.09069152816,0.07238738280491064,16452622.86980307,782.7963952032441,21017.75502623685,0.5867344176669959,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2011,946.1018305417034,363786.78057601943,220.8185515764845,120470.37565112124,0.23339829228535777,20659822.169826895,946.1018305417034,21836.784902950494,0.6046306431918387,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2012,1029.0438517213502,255119.54591680743,42.807585114566756,-69777.18419477981,0.04159937892147129,20675635.237880196,1029.0438517213502,20092.08373704841,0.9364180199937101,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2013,1123.8986180870393,311709.17607590486,30.419102950331787,16564.444347998688,0.027065700109238863,35677947.59162854,1123.8986180870393,31744.80955618142,0.7904536231383218,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2014,1208.8088957750947,380062.516940681,66.72299482252066,127382.03563229553,0.05519730625388682,28435419.442602664,1208.8088957750947,23523.50279848803,0.6910262971147259,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2015,1154.5985555619357,333562.7389391631,371.8021603586917,19606.018729119307,0.322018556638275,30463055.87693879,1154.5985555619357,26384.110503336477,0.7507206366847123,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2016,1307.9607882156695,350689.3760376438,361.85895767396596,-13097.404538375653,0.2766588730596556,43901098.88321582,1307.9607882156695,33564.537468364055,0.7676371839512035,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2017,885.7109005840922,293366.4521271702,-143.33295113725796,38246.90621036276,-0.1618281439719613,28128841.02539579,885.7109005840922,31758.490278087243,0.6421246321054345,Medium Region
Agricultural Inputs and Services,Farm Management and Labor Services,2018,1356.7229117940647,324145.9147107572,232.82429370702528,12436.7386348523,0.17160784393266398,33748079.93615529,1356.7229117940647,24874.703333142996,0.8495596178494201,Medium Region
Agricultural Inputs and Services,Fertilizers,2006,104.15279484255223,18327.838255930517,46.08073416594395,133.43155888351612,0.4424339667082789,4385423.6037721075,104.15279484255223,42105.67378822193,1.4173709644330201,Medium Region
Agricultural Inputs and Services,Fertilizers,2007,112.56610565281534,15258.80524859501,93.2698186751038,-859.1888734242293,0.8285781775446105,4374192.757646833,112.56610565281534,38858.87969810415,1.851228388232753,Medium Region
Agricultural Inputs and Services,Fertilizers,2008,145.14813090209503,15512.493179994231,97.30496454600538,-2384.8272905872873,0.670383861929571,8723090.65832916,145.14813090209503,60097.85041057841,2.2425257868261297,Medium Region
Agricultural Inputs and Services,Fertilizers,2009,155.97950952691315,16873.37091873143,84.49345370184594,-620.7725980601153,0.5416958545267588,6888099.6978234,155.97950952691315,44160.28566005272,2.1326155735436165,Medium Region
