Cluster,SubclusterName,end.year,five.year.job.change,Competitive.Effect,Expected.Change,Ind.Mix.Effect,Natl.Growth.Effect,start.jobs,end.jobs
Aerospace Vehicles and Defense,Aircraft,NA,NA,NA,NA,NA,NA,NA,NA
Aerospace Vehicles and Defense,Missiles and Space Vehicles,NA,NA,NA,NA,NA,NA,NA,NA
Aerospace Vehicles and Defense,Search and Navigation Equipment,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Inputs and Services,Agricultural Production,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Inputs and Services,Agricultural Services,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Inputs and Services,Farm Management and Labor Services,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Inputs and Services,Fertilizers,NA,NA,NA,NA,NA,NA,NA,NA
Apparel,Accessories and Specialty Apparel,NA,NA,NA,NA,NA,NA,NA,NA
Apparel,Apparel Contractors,NA,NA,NA,NA,NA,NA,NA,NA
Apparel,Men's Clothing,NA,NA,NA,NA,NA,NA,NA,NA
Apparel,Women's Clothing,NA,NA,NA,NA,NA,NA,NA,NA
Automotive,Automotive Parts,NA,NA,NA,NA,NA,NA,NA,NA
Automotive,Gasoline Engines and Engine Parts,NA,NA,NA,NA,NA,NA,NA,NA
Automotive,Metal Mills and Foundries,NA,NA,NA,NA,NA,NA,NA,NA
Automotive,Military Vehicles and Tanks,NA,NA,NA,NA,NA,NA,NA,NA
Automotive,Motor Vehicles,NA,NA,NA,NA,NA,NA,NA,NA
Automotive,Small Vehicles,NA,NA,NA,NA,NA,NA,NA,NA
Biopharmaceuticals,Biological Products,NA,NA,NA,NA,NA,NA,NA,NA
Biopharmaceuticals,Biopharmaceutical Products,NA,NA,NA,NA,NA,NA,NA,NA
Biopharmaceuticals,Diagnostic Substances,NA,NA,NA,NA,NA,NA,NA,NA
Business Services,Architectural and Drafting Services,NA,NA,NA,NA,NA,NA,NA,NA
Business Services,Business Support Services,NA,NA,NA,NA,NA,NA,NA,NA
Business Services,Computer Services,NA,NA,NA,NA,NA,NA,NA,NA
Business Services,Consulting Services,NA,NA,NA,NA,NA,NA,NA,NA
Business Services,Corporate Headquarters,NA,NA,NA,NA,NA,NA,NA,NA
Business Services,Employment Placement Services,NA,NA,NA,NA,NA,NA,NA,NA
Business Services,Engineering Services,NA,NA,NA,NA,NA,NA,NA,NA
Business Services,Ground Passenger Transportation,NA,NA,NA,NA,NA,NA,NA,NA
Coal Mining,Coal Mining,NA,NA,NA,NA,NA,NA,NA,NA
