clusterNAICS,lat,lon,employment,biz_id,tract
722511,40.44308153,-104.896285,10,1,8123002209
238220,40.46081014,-104.6647519,10,2,8123001500
522320,40.51987308,-104.7406035,10,3,8123001500
722513,40.45938476,-104.7479855,10,4,8123001500
624120,40.4456973,-104.6858823,10,5,8123000701
561210,40.51281458,-104.9074623,10,6,8123002208
561730,40.38769606,-104.7199263,10,7,8123001005
423110,40.43964317,-104.7938787,10,8,8123001416
624120,40.18389702,-104.9608109,10,9,8123002103
522320,40.40017937,-104.6895795,10,10,8123000800
624120,40.46256261,-104.8328958,30,11,8123002209
238320,40.05665548,-104.9818156,10,12,8123002009
522310,40.49094577,-104.9444299,10,13,8069002501
238350,40.38208294,-104.6721233,10,14,8123000704
213112,40.45307126,-104.6785789,10,15,8123001500
424820,40.67146122,-104.7247298,10,16,8123002501
551114,40.39387054,-104.680622,2270,17,8123000703
238910,40.00049113,-105.0015004,80,18,8014031400
484220,40.44928525,-104.8164218,10,19,8123002209
484121,40.48251373,-104.9342864,10,20,8123002207
624120,40.46690466,-104.8267108,10,21,8123002209
484220,40.4011235,-104.6887001,20,22,8123000800
424910,40.3535287,-104.7322048,10,23,8123001700
541110,40.12756991,-104.8702813,10,24,8123001906
236115,40.41466061,-104.7484232,10,25,8123001410
524210,40.7277585,-104.7601435,20,26,8123002501
621210,40.37370498,-104.7097454,10,27,8123001006
561720,40.46688273,-104.7794449,10,28,8123001500
425120,40.14918757,-104.9711477,10,29,8123002019
522110,40.46492809,-104.7932352,20,30,8123001500
511210,40.46341307,-104.94039,1020,31,8123002210
444110,40.5648594,-104.5882231,10,32,8123002501
624120,40.37665063,-104.8816982,20,33,8123002101
424690,40.14002629,-104.9404089,10,34,8123002021
332322,40.06219925,-104.7915252,100,35,8123001907
524210,40.30341386,-104.7907279,10,36,8123001700
561990,40.41293252,-104.6459816,10,37,8123000705
447110,40.45070133,-104.9697939,20,38,8069001709
624120,40.04869177,-104.9119437,10,39,8123002006
332999,40.44871069,-104.761414,10,40,8123001416
