Cluster,tract,LON,LAT,estabs,scaled_emp,nice_emp_bin
Aerospace Vehicles and Defense,8123002209,-104.8438380531077,40.44667413397573,3,0.012183020948180816,50 to 100
Agricultural Inputs and Services,8123002016,-104.82703140579572,40.092365752340186,13,0.0514773980154355,250 to 500
Agricultural Inputs and Services,8123001411,-104.7429039301516,40.407714434370604,6,0.02746416758544653,100 to 250
Agricultural Inputs and Services,8123001500,-104.69827992384356,40.47309308114945,15,0.02637265711135612,100 to 250
Agricultural Inputs and Services,8123001404,-104.76600815408757,40.36766535159693,3,0.023098125689084897,100 to 250
Agricultural Inputs and Services,8123000705,-104.65559896230359,40.42369068517183,9,0.017640573318632856,100 to 250
Agricultural Inputs and Services,8123001416,-104.77730487920333,40.4358405031903,6,0.017640573318632856,100 to 250
Agricultural Inputs and Services,8123001412,-104.80298688957151,40.39170234939887,4,0.017640573318632856,100 to 250
Agricultural Inputs and Services,8123002010,-105.03965130519279,40.133444908597824,5,0.017640573318632856,100 to 250
Agricultural Inputs and Services,8123002011,-104.9458936758956,40.128835734400084,5,0.017640573318632856,100 to 250
Agricultural Inputs and Services,8123002210,-104.93507496812374,40.43786811432547,5,0.016549062844542446,50 to 100
Agricultural Inputs and Services,8123002203,-104.88186620076547,40.47499897084811,6,0.016549062844542446,50 to 100
Agricultural Inputs and Services,8123002502,-104.50423887428148,40.107267227310565,6,0.013274531422271224,50 to 100
Agricultural Inputs and Services,8123002005,-104.97991502637817,40.05463195451846,5,0.013274531422271224,50 to 100
Agricultural Inputs and Services,8014031400,-105.02259818206116,39.9886407961757,4,0.013274531422271224,50 to 100
Agricultural Inputs and Services,8123001800,-104.75018592781363,40.2026662618051,4,0.012183020948180816,50 to 100
Agricultural Inputs and Services,8123002209,-104.87951197806002,40.44354472444988,3,0.012183020948180816,50 to 100
Agricultural Inputs and Services,8123001414,-104.76078916197302,40.432949800202756,3,0.012183020948180816,50 to 100
Agricultural Inputs and Services,8123000502,-104.70380137616178,40.425205085537975,5,0.012183020948180816,50 to 100
Agricultural Inputs and Services,8123002300,-104.70709568574473,40.587769326564455,5,0.012183020948180816,50 to 100
Agricultural Inputs and Services,8123002102,-104.93149164436545,40.31202397091924,3,0.011091510474090408,20 to 50
Agricultural Inputs and Services,8123000300,-104.7017587239282,40.40019675822856,3,0.011091510474090408,20 to 50
Agricultural Inputs and Services,8123002103,-105.04380022177432,40.261488656165156,4,0.011091510474090408,20 to 50
Agricultural Inputs and Services,8123001005,-104.7297811993856,40.38186497266808,4,0.011091510474090408,20 to 50
Agricultural Inputs and Services,8123001004,-104.65432784193143,40.361197492332046,4,0.011091510474090408,20 to 50
Agricultural Inputs and Services,8123001700,-104.72246963357678,40.338293356489814,3,0.01,20 to 50
Agricultural Inputs and Services,8123002101,-104.85920119601758,40.39265035836371,3,0.01,20 to 50
Agricultural Inputs and Services,8123002206,-104.92648850565662,40.501820759854596,3,0.01,20 to 50
Apparel,8123002203,-104.7223081383733,40.46249423206252,3,0.01,20 to 50
Automotive,8123002209,-104.85590531923184,40.38623438568608,6,0.013274531422271224,50 to 100
Business Services,8123000703,-104.65299440224236,40.38444573708612,32,1,"5,000 to 10,000"
Business Services,8123001412,-104.7903873885859,40.44004974225245,21,0.09186328555678058,"500 to 1,000"
Business Services,8123001700,-104.7174639575219,40.33047426752079,26,0.07330760749724366,"500 to 1,000"
Business Services,8123001500,-104.71324455457322,40.48143614981314,30,0.05911797133406836,250 to 500
Business Services,8123001300,-104.74047567981816,40.4314839820166,11,0.04383682469680265,250 to 500
Business Services,8123002007,-105.04237788601829,40.07122753300568,9,0.04056229327453142,250 to 500
Business Services,8123002208,-104.86416460852556,40.517492558974965,16,0.03619625137816979,250 to 500
Business Services,8123002103,-104.99762384795125,40.230408617968486,20,0.03292171995589857,100 to 250
Business Services,8123001800,-104.8058513400484,40.22480206733442,13,0.03073869900771775,100 to 250
Business Services,8123002203,-104.88457338811499,40.48866731197465,5,0.02964718853362734,100 to 250
Business Services,8123000401,-104.69301474548264,40.40743253172256,7,0.028555678059536932,100 to 250
Business Services,8123002502,-104.59176482590915,40.08289656741584,9,0.02746416758544653,100 to 250
Business Services,8123001902,-104.75166454311805,40.06424978011393,10,0.02637265711135612,100 to 250
Business Services,8123002300,-104.71923347404834,40.59100294092715,15,0.024189636163175304,100 to 250
Business Services,8123002101,-104.85707027778187,40.34549924485029,9,0.019823594266813672,100 to 250
Business Services,8123001406,-104.77402130364787,40.386347670679626,7,0.019823594266813672,100 to 250
Business Services,8123001005,-104.72630383678963,40.3834480150661,7,0.018732083792723266,100 to 250
Business Services,8123002501,-104.04268517572505,40.5866288174028,5,0.018732083792723266,100 to 250
Business Services,8123001201,-104.73317138934419,40.41761913770208,7,0.018732083792723266,100 to 250
Business Services,8069001709,-104.97338696739567,40.42542888233274,8,0.017640573318632856,100 to 250
Business Services,8123002210,-104.93776782424335,40.44061653877377,6,0.017640573318632856,100 to 250
Business Services,8069002501,-104.96307571995236,40.50577921318986,5,0.017640573318632856,100 to 250
Business Services,8123002209,-104.86906332823914,40.44545607029588,9,0.016549062844542446,50 to 100
Business Services,8123002010,-105.02240747808958,40.15106021660445,8,0.016549062844542446,50 to 100
Business Services,8123000600,-104.70844488234152,40.44233691105781,5,0.01545755237045204,50 to 100
Business Services,8123001404,-104.7547961130248,40.36912782962203,7,0.014366041896361632,50 to 100
Business Services,8123001906,-104.80110982450474,40.132235982174784,6,0.014366041896361632,50 to 100
Business Services,8123001908,-104.84448393393318,40.0629479124766,6,0.014366041896361632,50 to 100
Business Services,8014031400,-105.02568503875861,39.987196213757095,7,0.014366041896361632,50 to 100
Business Services,8123002016,-104.9235755082293,40.110816663732315,5,0.014366041896361632,50 to 100
Business Services,8123001600,-104.56265656280522,40.437456035993215,5,0.013274531422271224,50 to 100
Business Services,8123002004,-104.93089852798482,40.077324748445335,6,0.013274531422271224,50 to 100
Business Services,8123001202,-104.72676230870651,40.41048228400303,4,0.012183020948180816,50 to 100
Business Services,8123002021,-104.90509056777546,40.13997328199995,3,0.012183020948180816,50 to 100
Business Services,8123002102,-104.91887393130783,40.33433073933365,5,0.012183020948180816,50 to 100
Business Services,8123001006,-104.6982406831594,40.37938281524094,4,0.012183020948180816,50 to 100
Business Services,8123000701,-104.6837845442438,40.42889600540569,4,0.011091510474090408,20 to 50
Business Services,8123002012,-104.97637171027958,40.105613836624805,4,0.011091510474090408,20 to 50
Business Services,8123001100,-104.7197516520809,40.40188362847382,3,0.01,20 to 50
Business Services,8123002005,-104.9577609773319,40.05437770739593,3,0.01,20 to 50
Business Services,8123002013,-104.9486726576213,40.09945677038225,3,0.01,20 to 50
Business Services,8123000900,-104.70704358176914,40.39361973595725,3,0.01,20 to 50
Construction Products and Services,8123001500,-104.71523515285593,40.48393429033244,12,0.020915104740904078,100 to 250
Construction Products and Services,8123001600,-104.47191506501126,40.542188721202756,4,0.01545755237045204,50 to 100
Construction Products and Services,8123002010,-104.94949865169868,40.159465174042936,5,0.01545755237045204,50 to 100
Construction Products and Services,8123001416,-104.82021202131035,40.44761690292025,7,0.01545755237045204,50 to 100
Construction Products and Services,8123002103,-104.9952014082327,40.2365991901174,6,0.01545755237045204,50 to 100
Construction Products and Services,8123001202,-104.74172041462347,40.410345174720604,5,0.014366041896361632,50 to 100
Construction Products and Services,8123002009,-105.02303270263857,40.06067963344842,4,0.012183020948180816,50 to 100
Construction Products and Services,8123001908,-104.81639147662963,40.079380261999546,5,0.012183020948180816,50 to 100
Construction Products and Services,8123001700,-104.7138374670809,40.342477091415795,4,0.011091510474090408,20 to 50
Construction Products and Services,8123002102,-104.87462043687778,40.324130491694426,3,0.011091510474090408,20 to 50
Construction Products and Services,8069002501,-104.94591708738119,40.49206942061015,4,0.011091510474090408,20 to 50
Construction Products and Services,8123001005,-104.72638335936853,40.36406548469362,3,0.01,20 to 50
Distribution and Electronic Commerce,8123001907,-104.81854915828201,40.140910877205286,34,0.20319735391400223,"1,000 to 5,000"
Distribution and Electronic Commerce,8123002009,-105.02643418734053,40.10927692676956,24,0.10277839029768468,"500 to 1,000"
Distribution and Electronic Commerce,8123002101,-104.79565565990653,40.36446027529625,16,0.07112458654906284,"500 to 1,000"
Distribution and Electronic Commerce,8123001404,-104.7495843110493,40.37786528282063,16,0.06675854465270122,"500 to 1,000"
Distribution and Electronic Commerce,8123000705,-104.64538823605771,40.405824462045274,23,0.05911797133406836,250 to 500
Distribution and Electronic Commerce,8123001500,-104.71621708549436,40.4759690140323,18,0.05366041896361631,250 to 500
Distribution and Electronic Commerce,8123001413,-104.75828090442991,40.42481468560911,3,0.042745314222712244,250 to 500
Distribution and Electronic Commerce,8123002209,-104.84679806765935,40.43238291103877,9,0.031830209481808154,100 to 250
Distribution and Electronic Commerce,8123002210,-104.92625519847353,40.452937964757886,6,0.031830209481808154,100 to 250
Distribution and Electronic Commerce,8123001416,-104.77152936589277,40.436361555072935,15,0.02964718853362734,100 to 250
Distribution and Electronic Commerce,8123000402,-104.69126562198232,40.4243147205574,7,0.028555678059536932,100 to 250
Distribution and Electronic Commerce,8123002208,-104.88492556681067,40.513068978896015,10,0.028555678059536932,100 to 250
Distribution and Electronic Commerce,8123001700,-104.70203056789435,40.35160314335211,15,0.02746416758544653,100 to 250
Distribution and Electronic Commerce,8123002103,-104.99060168266426,40.221144184160785,14,0.02637265711135612,100 to 250
Distribution and Electronic Commerce,8123002207,-104.93114584828457,40.496327924545206,9,0.022006615214994488,100 to 250
Distribution and Electronic Commerce,8123002102,-104.95462886726745,40.35833120459508,8,0.020915104740904078,100 to 250
Distribution and Electronic Commerce,8123001005,-104.72425334557866,40.372586319070734,5,0.019823594266813672,100 to 250
Distribution and Electronic Commerce,8123002502,-104.5358165248301,40.08036937547713,9,0.016549062844542446,50 to 100
Distribution and Electronic Commerce,8123002300,-104.75209441451682,40.559296756838435,6,0.01545755237045204,50 to 100
Distribution and Electronic Commerce,8123001408,-104.7665033563192,40.39839393824686,5,0.014366041896361632,50 to 100
Distribution and Electronic Commerce,8123001100,-104.72630028798386,40.39757582457499,4,0.013274531422271224,50 to 100
Distribution and Electronic Commerce,8123000703,-104.68286100221836,40.401059265685035,5,0.013274531422271224,50 to 100
Distribution and Electronic Commerce,8123002501,-104.429519557864,40.602173994960204,5,0.012183020948180816,50 to 100
Distribution and Electronic Commerce,8123001415,-104.73967554828836,40.43576061888427,3,0.012183020948180816,50 to 100
Distribution and Electronic Commerce,8123002007,-105.05059202862495,40.04999657878674,5,0.012183020948180816,50 to 100
Distribution and Electronic Commerce,8123001600,-104.46245401811558,40.39199986730799,5,0.012183020948180816,50 to 100
Distribution and Electronic Commerce,8123001412,-104.79022468109002,40.41514500043065,4,0.012183020948180816,50 to 100
Distribution and Electronic Commerce,8123001410,-104.75070094010688,40.41251472532473,4,0.012183020948180816,50 to 100
Distribution and Electronic Commerce,8069002501,-104.9649620626,40.51459210486115,4,0.011091510474090408,20 to 50
Distribution and Electronic Commerce,8123000600,-104.70294442764119,40.44256155844857,4,0.011091510474090408,20 to 50
Distribution and Electronic Commerce,8123001004,-104.68863600106529,40.37951137352874,3,0.01,20 to 50
Distribution and Electronic Commerce,8123001006,-104.70475197253923,40.37774166306783,3,0.01,20 to 50
Distribution and Electronic Commerce,8013060800,-105.08831956493444,40.002386305545734,3,0.01,20 to 50
Distribution and Electronic Commerce,8123002008,-105.00255755962925,40.012105540980336,3,0.01,20 to 50
Distribution and Electronic Commerce,8001061200,-104.96233632183743,39.99580013289619,3,0.01,20 to 50
Downstream Chemical Products,8123001411,-104.79779688950354,40.42351625227303,3,0.011091510474090408,20 to 50
Downstream Metal Products,8123001416,-104.84709424630844,40.52338820536109,4,0.013274531422271224,50 to 100
Downstream Metal Products,8123001406,-104.87555519557064,40.29466636106053,5,0.012183020948180816,50 to 100
