Cluster,SubclusterName,end.year,two.year.change,Competitive.Effect,Expected.Change,Ind.Mix.Effect,Natl.Growth.Effect,start.jobs,end.jobs
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aerospace Vehicles and Defense,Aircraft,2003,-77.45179048,-20.84391168,-91.40298999,-56.80363302,-4.461500207,751.3482861,673.8964956
Aerospace Vehicles and Defense,Aircraft,2004,-140.175101,-107.468587,-24.22818507,-23.13090345,4.021974468,585.4083756,445.2332745
Aerospace Vehicles and Defense,Aircraft,2005,-124.3864812,-99.65732838,25.05891652,22.67592551,11.15512476,801.7930372,677.406556
Aerospace Vehicles and Defense,Aircraft,2006,-23.53040674,-65.5633685,31.78170137,15.07555604,9.873744986,449.8196435,426.2892368
Aerospace Vehicles and Defense,Aircraft,2007,-86.91111532,-83.99726125,12.29991863,8.384689654,2.966473614,520.2231358,433.3120205
Aerospace Vehicles and Defense,Aircraft,2008,-114.9570976,-188.9107888,30.93070319,25.57779895,1.098657773,342.8642206,227.907123
Aerospace Vehicles and Defense,Aircraft,2009,36.05355225,34.6237008,1.161381027,8.448468138,-5.209967032,167.1330987,203.186651
Aerospace Vehicles and Defense,Aircraft,2010,57.82948472,58.58009919,-5.517432361,-1.527061856,-5.26459167,191.51113,249.3406147
Aerospace Vehicles and Defense,Aircraft,2011,-31.88799248,-35.23296186,2.40483795,0.841855052,1.186724818,374.2667089,342.3787165
Aerospace Vehicles and Defense,Aircraft,2012,-30.32454328,-36.25862169,8.816793322,8.228460671,4.609511582,265.9014252,235.576882
Aerospace Vehicles and Defense,Aircraft,2013,-31.88363912,-42.54810943,8.279714136,2.462338725,5.218737496,251.0073818,219.1237427
Aerospace Vehicles and Defense,Aircraft,2014,-36.69114385,-39.5415455,-1.832202423,-4.642268334,3.777076252,205.4023249,168.7111811
Aerospace Vehicles and Defense,Aircraft,2015,33.90035729,46.74672547,0.579550661,-2.094358237,3.465563916,130.8874799,164.7878372
Aerospace Vehicles and Defense,Aircraft,2016,79.99016025,46.4317809,0.885584734,-1.797350458,3.295759046,156.4370169,236.4271772
Aerospace Vehicles and Defense,Aircraft,2017,43.83108352,50.80349968,-1.126459165,-4.73899637,3.733972323,214.4148601,258.2459436
Aerospace Vehicles and Defense,Aircraft,2018,10.67238225,3.693667778,5.118031524,0.48553116,2.987616772,306.7692049,317.4415872
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2003,7.532677523,6.453677222,0,-0.034439986,-0.010981596,0,7.532677523
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2004,1.464923385,0.973839723,0,-0.030222618,0.004628562,0,1.464923385
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2005,1.928989729,1.598834878,0,0.229017291,0.204009416,12.80892082,14.73791055
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2006,8.766086596,8.171312584,0,0.009358815,0.044643214,3.140937824,11.90702442
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2007,9.517456019,18.45743221,0,-0.167550359,0.102095777,16.45584452,25.97330054
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2008,21.80886345,23.14452226,0,0.08026336,0.047554102,12.49240795,34.3012714
